token_type,token_address,receiver,amount
erc20,0x4200000000000000000000000000000000000042,0x49A7de07D0051961ABf7e3d30aabcc4D42716586,5.45
erc20,0x4200000000000000000000000000000000000042,0x07AF8CFCc9c94a63f8544fDff48a3F5DD8b6e37C,5.45
erc20,0x4200000000000000000000000000000000000042,0x0aAF85Ed99ee0314e610638fe674f4266b21f0e4,5.45
erc20,0x4200000000000000000000000000000000000042,0x14Edb0F572a7C662146D6488C578cFBD9f3D69E1,5.45
erc20,0x4200000000000000000000000000000000000042,0xE53Fc2a201a673075A16C65Fa71072AC145a0396,5.45
erc20,0x4200000000000000000000000000000000000042,0x0e551a523BD88f3815a5D4CC6231fBd513B28b9a,5.45
erc20,0x4200000000000000000000000000000000000042,0xd18c2C49C39D4E2615C6a734A4003bec48Bc4304,5.45
erc20,0x4200000000000000000000000000000000000042,0x31A406EfBD18897c85A028CA2Ad9Bbf06FebAA2c,5.45
erc20,0x4200000000000000000000000000000000000042,0x4cd34f7Ea5412CFDcf382139786B44Eb63617701,5.45
erc20,0x4200000000000000000000000000000000000042,0xACd5eF7a9020a19bF4AB0a0b73a220edb4aA1A5F,5.45
erc20,0x4200000000000000000000000000000000000042,0x119a849400dd8b61c8ab8995cb37af32dbbd2d8b,5.45
erc20,0x4200000000000000000000000000000000000042,0x29a834471B7F2a38805a5D58185d81EF41D27eB5,5.45
erc20,0x4200000000000000000000000000000000000042,0x863314e95f894639Bab022b2189CecFe8c086ABd,5.45
erc20,0x4200000000000000000000000000000000000042,0x42eed31a8bb26099364b301ae087acfb037ba864,5.45
erc20,0x4200000000000000000000000000000000000042,0x958981dd45e57f61d8073442b25947b34024267c,5.45
erc20,0x4200000000000000000000000000000000000042,0x2D672067Dc7391cBe67c36B251F26232cD353671,5.45
erc20,0x4200000000000000000000000000000000000042,0x124474fdbecddef33732e84c4834faee38ef0c44,5.45
erc20,0x4200000000000000000000000000000000000042,0x5204FbEeEe2519381eC63747b4D24aEe5D64905d,5.45
erc20,0x4200000000000000000000000000000000000042,0x07AF8CFCc9c94a63f8544fDff48a3F5DD8b6e37C,5.45
erc20,0x4200000000000000000000000000000000000042,0xf9e1D1e9F22c96752356AdFd377231528c7E851E,5.45
erc20,0x4200000000000000000000000000000000000042,0x164B4c5F9ca1A1BC0Fe0Fa39A76a12aAb85683e1,5.45
erc20,0x4200000000000000000000000000000000000042,0x1b27B3D405eB29e255CB004e34Fd86f2803170f2,5.45
erc20,0x4200000000000000000000000000000000000042,0x0e551a523BD88f3815a5D4CC6231fBd513B28b9a,5.45
